first name,last name,gender,address,sector,date of birth,occupation
Robert,DA,Female,47 Nolan Hills,4,2006-09-26,Accountant
Max,E,Male,64 Evergreen,1,2006-09-26,Accountant
John,N,Male,64 Evergreen,5,1986-01-30,Lawyer
Robert,QA,Male,202 Auburn Bay,1,1986-01-30,Lawyer
Max,U,Female,24 Walden,1,2002-09-13,Doctor
Max,FA,Female,1110 Cranston,1,1986-01-30,Mechanic
Karen,VA,Male,24 Walden,1,2002-09-13,Doctor
John,OC,Male,202 Auburn Bay,3,1986-01-30,Mechanic
John,WB,Male,47 Nolan Hills,3,1986-01-30,Mechanic
Cathy,SB,Female,202 Auburn Bay,2,2013-11-24,Accountant
Elizabeth,O,Female,202 Auburn Bay,5,2002-09-13,Mechanic
Steve,C,Female,1110 Cranston,2,2006-09-26,Accountant
Robert,GC,Female,24 Walden,3,2007-02-02,Lawyer
Karen,Y,Male,24 Walden,2,2007-02-02,Doctor
Max,TB,Male,202 Auburn Bay,2,2002-09-13,Accountant
Max,CC,Female,47 Nolan Hills,3,2013-11-24,Accountant
John,VC,Female,202 Auburn Bay,4,2013-11-24,Accountant
Cathy,IA,Male,1110 Cranston,4,2013-11-24,Mechanic
Cathy,YC,Male,202 Auburn Bay,4,2006-09-26,Mechanic
Robert,TA,Female,24 Walden,4,2006-09-26,Accountant
Max,CA,Female,202 Auburn Bay,5,2013-11-24,Mechanic
Elizabeth,KC,Male,1110 Cranston,2,2007-02-02,Mechanic
Robert,L,Female,64 Evergreen,4,2006-09-26,Accountant
Steve,RC,Female,24 Walden,5,2007-02-02,Doctor
Cathy,F,Female,1110 Cranston,1,1986-01-30,Accountant
Cathy,GB,Male,64 Evergreen,2,2013-11-24,Mechanic
Elizabeth,NA,Female,1110 Cranston,3,2006-09-26,Lawyer
Robert,YB,Female,24 Walden,5,2013-11-24,Doctor
John,JC,Male,64 Evergreen,5,1986-01-30,Accountant
Max,ZB,Female,202 Auburn Bay,5,2013-11-24,Doctor
Steve,IB,Female,47 Nolan Hills,2,2002-09-13,Doctor
Robert,SA,Female,1110 Cranston,1,2013-11-24,Doctor
Cathy,MA,Male,202 Auburn Bay,3,2006-09-26,Mechanic
Cathy,P,Male,24 Walden,1,2002-09-13,Doctor
Robert,D,Female,64 Evergreen,3,2013-11-24,Doctor
Karen,R,Female,202 Auburn Bay,2,2013-11-24,Mechanic
Cathy,HA,Male,64 Evergreen,3,2006-09-26,Mechanic
